Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19
23601231,EK,ORD,236,00:00.0,ORD,DXB,54,8213.8,8213.8,0,E,55:34.4,10591512|125|23601231|E,14474032,0,55:34.4,agi_bideveloper2,INSERT
1021321,AA,LGA,998E,00:00.0,LGA,DFW,1,685.8,685.8,0,E,55:33.9,10660314|000|01021321|E,14474030,0,55:33.9,agi_bideveloper2,INSERT
1021321,AA,DFW,998E,00:00.0,LGA,DFW,0,0,685.8,0,I,55:33.9,10660314|000|01021321|I-Import,14474031,0,55:33.9,agi_bideveloper2,INSERT
17911434,7L,GYD,1,00:00.0,JFK,GYD,0,0,2115.4,0,I,55:33.3,10879432|501|17911434|I-Import,14474027,0,55:33.3,agi_bideveloper2,INSERT
16887183,7L,GYD,1,00:00.0,JFK,GYD,0,0,0,0,I,55:33.3,10879433|501|16887183|T-Import,14474028,0,55:33.3,agi_bideveloper2,INSERT
17911456,7L,GYD,1,00:00.0,JFK,GYD,0,0,0,0,I,55:33.3,10864001|501|17911456|I-Import,14474029,0,55:33.3,agi_bideveloper2,INSERT
87699496,TK,IST,78,00:00.0,MIA,IST,0,0,233,0,I,55:32.8,10744699|235|87699496|T-Import,14474026,0,55:32.8,agi_bideveloper2,INSERT
87672863,TK,IST,6074,00:00.0,MIA,IST,0,0,0,0,I,55:32.3,10845754|235|87672863|T-Import,14474023,0,55:32.3,agi_bideveloper2,INSERT
87683212,TK,IST,6074,00:00.0,MIA,IST,0,0,2235.9,0,I,55:32.3,10849212|235|87683212|T-Import,14474024,0,55:32.3,agi_bideveloper2,INSERT
84603525,TK,IST,6074,00:00.0,MIA,IST,0,0,0,0,I,55:32.3,10849221|235|84603525|I-Import,14474025,0,55:32.3,agi_bideveloper2,INSERT
83505833,TK,IST,6558,00:00.0,MIA,IST,0,0,1862.9,0,I,55:31.8,10874195|235|83505833|T-Import,14474022,0,55:31.8,agi_bideveloper2,INSERT
87684822,TK,IST,2,00:00.0,JFK,IST,0,0,0,0,I,55:31.3,10793273|235|87684822|T-Import,14474014,0,55:31.3,agi_bideveloper2,INSERT
85985314,TK,IST,2,00:00.0,JFK,IST,0,0,0,0,I,55:31.3,10770114|235|85985314|T-Import,14474015,0,55:31.3,agi_bideveloper2,INSERT
82733792,TK,IST,158,00:00.0,MIA,IST,16,316,0,0,I,55:31.3,10881597|235|82733792|T-Import,14474016,0,55:31.3,agi_bideveloper2,INSERT
82657374,TK,IST,158,00:00.0,MIA,IST,5,3523,0,0,I,55:31.3,10888151|235|82657374|T-Import,14474017,0,55:31.3,agi_bideveloper2,INSERT
82657374,TK,IST,158,00:00.0,MIA,IST,5,3510,7349,0,I,55:31.3,10888152|235|82657374|T-Import,14474018,0,55:31.3,agi_bideveloper2,INSERT
83954905,TK,IST,2,00:00.0,JFK,IST,0,0,0,0,I,55:31.3,10885721|235|83954905|T-Import,14474019,0,55:31.3,agi_bideveloper2,INSERT
50171542,TK,IST,78,00:00.0,MIA,IST,0,0,5.4,0,I,55:31.3,10885226|235|50171542|T-Import,14474020,0,55:31.3,agi_bideveloper2,INSERT
83580453,TK,IST,2,00:00.0,JFK,IST,0,0,8095.1,0,I,55:31.3,10885305|235|83580453|T-Import,14474021,0,55:31.3,agi_bideveloper2,INSERT
92688352,5Y,ORD,8523,00:00.0,HAN,ORD,0,0,0,0,I,55:30.8,10883691|369|92688352|I-Import,14471435,0,55:30.8,agi_bideveloper2,INSERT
25431070,DL,JFK,231,00:00.0,FCO,JFK,0,0,0,0,I,55:30.8,10889045|006|25431070|I-Import,14473979,0,55:30.8,agi_bideveloper2,INSERT
92688363,5Y,ORD,8523,00:00.0,HAN,ORD,0,0,0,0,I,55:30.8,10883692|369|92688363|I-Import,14471436,0,55:30.8,agi_bideveloper2,INSERT
45057460,DL,JFK,231,00:00.0,FCO,JFK,0,0,0,0,I,55:30.8,10889046|006|45057460|I-Import,14473980,0,55:30.8,agi_bideveloper2,INSERT
92688374,5Y,ORD,8523,00:00.0,HAN,ORD,0,0,0,0,I,55:30.8,10883693|369|92688374|I-Import,14471437,0,55:30.8,agi_bideveloper2,INSERT
25438954,DL,JFK,231,00:00.0,FCO,JFK,0,0,0,0,I,55:30.8,10889047|006|25438954|T-Import,14473981,0,55:30.8,agi_bideveloper2,INSERT
92688293,5Y,ORD,8523,00:00.0,HAN,ORD,0,0,0,0,I,55:30.8,10883694|369|92688293|I-Import,14471438,0,55:30.8,agi_bideveloper2,INSERT
25292304,DL,JFK,231,00:00.0,FCO,JFK,0,0,0,0,I,55:30.8,10889048|006|25292304|T-Import,14473982,0,55:30.8,agi_bideveloper2,INSERT
92688352,5Y,ORD,8523,00:00.0,HAN,ORD,0,0,0,0,I,55:30.8,10883695|369|92688352|I-Import,14471439,0,55:30.8,agi_bideveloper2,INSERT
